filename,n_blocks,cache_hits
GEN_DEDUP_248,10,10
GEN_DEDUP_241,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_278,10,2
GEN_DEDUP_253,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_241,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_262,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_264,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_267,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_223,10,10
GEN_DEDUP_260,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_266,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_226,10,1
GEN_DEDUP_249,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_238,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_284,10,0
GEN_DEDUP_239,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_235,10,0
GEN_DEDUP_268,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_271,10,10
GEN_DEDUP_265,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_265,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_240,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_266,10,10
GEN_DEDUP_271,10,10
GEN_DEDUP_260,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_236,10,10
GEN_DEDUP_261,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_240,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_238,10,10
GEN_DEDUP_264,10,10
GEN_DEDUP_230,10,0
GEN_DEDUP_250,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_230,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_238,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_227,10,0
GEN_DEDUP_258,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_263,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_270,10,1
GEN_DEDUP_235,10,10
GEN_DEDUP_240,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_240,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_240,10,10
GEN_DEDUP_232,10,10
GEN_DEDUP_273,10,0
GEN_DEDUP_245,10,10
GEN_DEDUP_263,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_235,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_275,10,0
GEN_DEDUP_265,10,10
GEN_DEDUP_260,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_261,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_264,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_260,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_231,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_263,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_237,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_260,10,10
GEN_DEDUP_262,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_266,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_238,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_231,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_228,10,1
GEN_DEDUP_253,10,10
GEN_DEDUP_236,10,10
GEN_DEDUP_237,10,10
GEN_DEDUP_264,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_222,10,1
GEN_DEDUP_273,10,10
GEN_DEDUP_260,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_233,10,10
GEN_DEDUP_260,10,10
GEN_DEDUP_237,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_258,10,10
GEN_DEDUP_237,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_272,10,10
GEN_DEDUP_237,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_235,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_231,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_236,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_265,10,10
GEN_DEDUP_264,10,10
GEN_DEDUP_263,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_236,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_261,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_227,10,10
GEN_DEDUP_278,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_268,10,10
GEN_DEDUP_241,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_241,10,10
GEN_DEDUP_238,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_264,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_231,10,10
GEN_DEDUP_236,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_225,10,0
GEN_DEDUP_249,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_260,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_226,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_241,10,10
GEN_DEDUP_263,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_233,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_260,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_241,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_230,10,10
GEN_DEDUP_264,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_265,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_241,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_263,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_237,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_264,10,10
GEN_DEDUP_234,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_261,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_261,10,10
GEN_DEDUP_267,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_235,10,10
GEN_DEDUP_231,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_272,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_258,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_240,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_238,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_238,10,10
GEN_DEDUP_265,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_230,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_224,10,3
GEN_DEDUP_262,10,10
GEN_DEDUP_237,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_262,10,10
GEN_DEDUP_261,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_228,10,10
GEN_DEDUP_261,10,10
GEN_DEDUP_235,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_240,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_273,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_236,10,10
GEN_DEDUP_267,10,10
GEN_DEDUP_233,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_237,10,10
GEN_DEDUP_236,10,10
GEN_DEDUP_234,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_236,10,10
GEN_DEDUP_236,10,10
GEN_DEDUP_265,10,10
GEN_DEDUP_269,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_263,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_262,10,10
GEN_DEDUP_238,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_237,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_260,10,10
GEN_DEDUP_223,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_241,10,10
GEN_DEDUP_238,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_241,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_231,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_241,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_264,10,10
GEN_DEDUP_226,10,10
GEN_DEDUP_241,10,10
GEN_DEDUP_265,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_260,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_228,10,10
GEN_DEDUP_264,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_240,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_233,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_234,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_237,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_234,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_258,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_241,10,10
GEN_DEDUP_241,10,10
GEN_DEDUP_240,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_232,10,10
GEN_DEDUP_233,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_226,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_269,10,10
GEN_DEDUP_225,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_233,10,10
GEN_DEDUP_238,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_269,10,10
GEN_DEDUP_271,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_230,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_230,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_269,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_231,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_267,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_270,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_235,10,10
GEN_DEDUP_241,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_258,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_235,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_236,10,10
GEN_DEDUP_263,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_235,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_238,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_263,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_232,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_255,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_263,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_266,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_261,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_238,10,10
GEN_DEDUP_265,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_240,10,10
GEN_DEDUP_229,10,10
GEN_DEDUP_260,10,10
GEN_DEDUP_258,10,10
GEN_DEDUP_234,10,10
GEN_DEDUP_262,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_237,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_228,10,10
GEN_DEDUP_240,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_271,10,10
GEN_DEDUP_241,10,10
GEN_DEDUP_265,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_263,10,10
GEN_DEDUP_236,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_260,10,10
GEN_DEDUP_270,10,10
GEN_DEDUP_250,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_233,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_236,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_271,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_248,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_258,10,10
GEN_DEDUP_264,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_266,10,10
GEN_DEDUP_240,10,10
GEN_DEDUP_238,10,10
GEN_DEDUP_241,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_247,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_245,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_263,10,10
GEN_DEDUP_239,10,10
GEN_DEDUP_243,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_267,10,10
GEN_DEDUP_249,10,10
GEN_DEDUP_266,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_263,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_260,10,10
GEN_DEDUP_262,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_238,10,10
GEN_DEDUP_235,10,10
GEN_DEDUP_258,10,10
GEN_DEDUP_244,10,10
GEN_DEDUP_234,10,10
GEN_DEDUP_254,10,10
GEN_DEDUP_266,10,10
GEN_DEDUP_256,10,10
GEN_DEDUP_251,10,10
GEN_DEDUP_241,10,10
GEN_DEDUP_232,10,10
